"Session ID","Date","Merchant Name","Merchant Email","Transcript"
"session_2138e4f2-0bee-4c50-9be3-e0e452107845","2026-03-24 17:01","Esmaltia","info@esmaltia.com","[CS: Hana] Hi there
[CS: Hana] Hana aquí
[User] me gustaría que el chatbox siempre estuviera arriba para poder cerrarlo el cliente si quiere
[CS: Hana] ¿Me puedes dar la captura de pantalla para revisarla más a fondo por ti?
[CS: Hana] Déjame arreglarlo por ti :$
[CS: Hana] Todo arreglado para ti
[CS: Hana] Hemos añadido el código CSS para cambiar el botón z-index y evitar que se sobrescriba en el cajón del carrito para ti
[CS: Hana] ¿Puedes ayudarme a comprobarlo de tu parte?
[User] perfecto
[User] gracias!
[CS: Hana] ¡Un placer ayudarte! ¿Hay algo más en lo que pueda ayudarte hoy? ;)
[CS: Hana] Ah, ya que sigues aquí, ¿puedo pedirte un pequeño favor? <3
[User] buenas
[User] porque no a`parece el chat en la home cuando abro la web?
[CS: Hana] Hi there
[CS: Hana] Hana aquí
[CS: Hana] Déjame comprobarlo por ti
[User] gracias
[CS: Hana] De nada, actualizaré en unos momentos
[CS: Hana] Todo listo. Hemos comprobado y seleccionado Hompage para mostrarte el widget
[CS: Hana] ¿Puedes ayudarme a comprobarlo?
[User] perfecto
[User] gracias
[CS: Hana] De nada :D
[CS: Hana] ¿Hay algo más en lo que pueda ayudarte hoy? ;)
[CS: Hana] Ah, ya que sigues aquí, ¿puedo pedirte un pequeño favor? <3
[User] si, dime!
[CS: Hana] Si tienes un momento, ¿te importaría dedicar unos minutos a compartir tus comentarios sobre nuestra app y soporte dejando una reseña aquí: [https://apps.shopify.com/chatty](https://apps.shopify.com/chatty#modal-show=WriteReviewModal)

Tu feedback no solo significa mucho para nosotros, sino que también ayuda a otros comerciantes a entender cómo la app puede apoyar su camino. ¡Muchísimas gracias por tu tiempo y apoyo <3
[CS: Hana] Si es posible, por favor menciona ""Hana"" en la <3
[CS: Hana] ![](https://media2.giphy.com/media/v1.Y2lkPWJjYzgzMTc4aW9hbGYydWoybmh6cHM0ZXJqNGM0NGxwcGVhNDVzdnVobmFxaXN3cyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/puUeBoInZy16GV2VkN/100.gif)"
"session_327cf3ec-201d-4801-baae-eca7a9bc417a","2026-03-24 16:59","Xinghaoya","business@xinghaoya.net","[CS: Audrey] You can view it in Shopify Billings > App credits. Could you please help me check it on your end?
[User] I dont see it
[CS: Audrey] Could you please share with me a screenshot from your Settings > Shopify Billings > App credits so I can have a look?
[User] this is?
[CS: Audrey] Yes, that's correct! You can use this credit amount to offset the corresponding bill for the usage fee
[User] Ohh, ok
[CS: Audrey] Is there any other concern that I can help you with today?
[User] Have you fixed the bug, and is it possible that the same problem will occur again?
[CS: Audrey] Our development team has updated the usage charge history, including resetting the usage fee and separating billing cycles to accurately count conversions for each period to completely address the issue
[CS: Audrey] Please rest assured that you won't encounter such an issue again
[User] ok
[CS: Audrey] Thank you for being patient while we addressed the issue for you!
[CS: Audrey] Please feel free to let me know if there's anything you need help with!
[User] again，your reply got tech issue
[User] again and again, you told me solved, but always got problem, how we can still use your app?
[User] more problem again and aagain
[CS: Rosie] Hi Xianghaoya, I am sincerely sorry for the ongoing frustration. Let me escalate your case directly to our Lead Developer for a comprehensive audit.
[CS: Rosie] I will monitor the progress myself and update you as soon as I have a definitive confirmation from the technical team.
[CS: Rosie Lê] trello: https://trello.com/c/0Whpisfa
[CS: Rosie] Hi Xianghaoya,

I sincerely apologize for the issues you've experienced with the AI replies.

After investigating, our team was able to replicate the issue. Since your store has a large amount of data, the AI occasionally gets stuck while preparing and analyzing the information to generate a response. This usually happens during the initial setup phase.

To resolve this, I have asked our technical team to review and optimize the AI quality specifically for your store. We are committed to improving the speed and accuracy of the replies to ensure a smoother experience for you and your customers.

We will keep you updated on the progress. Thank you for your patience!

Best regards,
Rosie
Avada Team
[User] whats wrong with ur app
[CS: Hazel] Hi there. Thanks for getting back. It's Hazel here
[CS: Hazel] Please give me a moment to check it for you
[User] ok
[CS: Hazel] Thank you. May I ask if you're referring to the wrong display message in these two sections?
[User] The referral links are incorrect.
[CS: Hazel] Ah, let me check
[User] You can explore our top-rated items in the AVADA - Best Sellers collection or view our entire catalog in All Product. We also feature curated selections in our AVADA Email Marketing - Newest Products and AVADA Email Marketing - Best Sellers categories. Please let me know if you are searching for a specific type of product today!
[CS: Hazel] Got it. I'm taking a look. I'll get back to you shortly
[CS: Hazel Pham] Z9yqYHpgCK0ZWnkK0Udi
[CS: Hazel] I can see the issue you're experiencing now. Let me escalate it to our team to investigate it further. I'll keep you posted once I have any updates from the team
[User] ok, please fix them ASAP
[CS: Hazel] Sure
[CS: Hazel Pham] convo: Z9yqYHpgCK0ZWnkK0Udi
https://capture.avada.io/i/VK49nOrsiO33
AI đưa link kiểu gì cứ AVADA ạ
[CS: Hazel Pham] https://trello.com/c/D4Jy81Gh
[CS: Hazel] Hi there,

I’m following up regarding the issue where the AI provided an incorrect link.

Our tech team has checked and found that in that conversation, the AI matched the query with a collection lookup from the backend, which led to the incorrect result.

To prevent this from happening again, our team has added an additional instruction (hook) to better guide the AI’s response. We’ve tested the update, and everything is working correctly now.
https://capture.avada.io/i/evwic4ZxkrqN
https://capture.avada.io/i/BhYysvwqmraN

Please help keep an eye on it from your side, and let us know if you notice anything unusual—we’re always here to help!"
"session_986b1b94-46f9-4a8b-b5b2-3b99ab9ff0db","2026-03-24 16:23","SAKURA TORMES Fine Jewelry","info@sakuratormes.com","[User] 管理画面はどこですか？
[CS: Hazel] こんにちは、Avadaサポートチームのヘイゼルです。 
ご連絡ありがとうございます。
[CS: Hazel] より詳しく教えていただければ、より詳しくお手伝いできるでしょうか?
[User] 有効化しログインしたがパスワード作成ができない
下記の文面が出てくる
できない
お探しのページは見つかりませんでした

Avadaアプリに技術的な問題が発生しており、このページが読み込まれていません。このページを再読み込みするか、Avadaアプリ内の別のページに移動してみてください。それでも解決しない場合は、サポートにお問い合わせください。
[CS: Hazel] 教えてくれてありがとうございます。
[CS: Hazel] 以下の手順を試してみて、効果があるか確認してください:
* ブラウザのキャッシュとクッキーをクリアしてください。
* 別のウェブブラウザを試してみてください。
* 別のインターネット接続を試してみて。
* デバイスでファイアウォールやポップアップブロッカー、ブラウザ拡張機能を有効にしているか確認してください。これらは干渉する可能性があります
[CS: Hazel] もしまだ同じ問題に直面している場合は、スクリーンショットを教えてください。より詳しく確認できるように
[User] iPhoneでもできないよ
[CS: Hazel] どの問題に直面しているのか正確に知るために、スクリーンショットをシェアしてもらえますか?
[User] お探しのページは見つかりませんでした

Avadaアプリに技術的な問題が発生しており、このページが読み込まれていません。このページを再読み込みするか、Avadaアプリ内の別のページに移動してみてください。それでも解決しない場合は、サポートにお問い合わせください。
[CS: Hazel] ありがとうございます。まずはチームに確認させてください
[CS: Hazel] それはお気の毒に!このエラーが出たときにどのページにアクセスしようとしているのか教えてもらえますか?特定のページで起きているのか、それともアプリ全体で起きているのか?
[User] アカウントを作成する
info@sakuratormes.com宛てのメールアドレスのアカウントを作成してください。

パスワード

8～16文字
小文字が含まれています
大文字が含まれています
数を含む
特殊文字が含まれています
スペースは含まれません
パスワードを確認してください

先に進むことで、当社のプライバシーポリシーに同意したものとみなされます。

アカウントを作成する
[User] アカウント作成ができないです
[User] パスワードを作成しようとすると
こんな画面に飛びます

できない
お探しのページは見つかりませんでした

Avadaアプリに技術的な問題が発生しており、このページが読み込まれていません。このページを再読み込みするか、Avadaアプリ内の別のページに移動してみてください。それでも解決しない場合は、サポートにお問い合わせください。
[CS: Hazel] ご不便をおかけして申し訳ありません。アカウント作成ページのエラーを調査します。技術チームに報告するまで、少々お待ちください。

認証のために、Shopifyの管理パネルからChattyアプリにアクセスできますか?
[User] はい
[User] 今管理画面です
[CS: Hazel] わかった。ぜひ開発チームにエスカレーションさせて、さらに詳しく確認させてください
[User] どうぞ
[CS: Hazel] チームからの進展があればまた報告します
[User] 了解です
[CS: Hazel] ご辛抱いただきありがとうございます
[CS: Hazel Pham] tạo card
[CS: Hazel Pham] https://trello.com/c/EaKlgyl8
[User] まだできないですね
[CS: Hazel] 「まだできない」というのはどういう意味かよくわかりません。何ができないのか、さらにお手伝いできるように教えていただけますか?
[User] だから有効化できない
[CS: Hazel] わかりました。開発チームが確認しています。少し時間がかかるので、その間のご辛抱に心から感謝しています"
"session_79b57cbd-c3d7-4434-ae68-d7798b65b5e4","2026-03-24 16:06","Freshine","support@freshinelife.com","[User] 好的，我们可以通过调用api的形式，保存聊天记录吗
[CS: Phoebe] 您好！
[CS: Phoebe] 我是Avada支持团队的菲比。很高兴今天能加入我们的讨论圈。
[CS: Phoebe] 我已经收到你的关切。请给我一些时间与我们的技术团队进行咨询。
[User] 这个有什么区别吗
[CS: Liz Allen] @linda
[CS: Linda] 你好，我是琳达，今天我会协助你。请允许我花点时间阅读聊天记录，以了解背景
[CS: Liz Allen] Em sửa lại thành please allow me some time to read the chat history to understand the context nhé @linda
[User] 好的
[CS: Andy Bui] > Okay, can we save chat history by calling the API?
Merchant có thể dùng API để save/backup chat history. Chỉ cần có người biết code để gọi API
[CS: Linda] 我会更仔细地检查，有更新后再回复你
[User] ok
[CS: Linda Truong] https://avadaio.slack.com/archives/C07AZNGEVTM/p1774284291252779
[CS: Linda] 请问您想把聊天记录存储在哪个地方或系统？
[CS: Liz Allen] hiện tại mình chưa hỗ trợ save Chat history bằng API, nhưng có thể export chat transcript giúp kh nếu muốn
[CS: Liz Allen] nếu họ cần thì nhắn mình để mình export giúp
[CS: Liz Allen] Hey, it looks like you're currently offline.

Unfortunately, we haven't supported saving chat history with API yet. However, we can help export your chat history and send it to your email whenever you need. Just let us know, and we’ll do it for you.
 
We are here to assist you , don't hesitate to text us for any questions.

Thank you.
[CS: Linda] Hey, it looks like you're currently offline.

Unfortunately, we haven't supported saving chat history with API yet. However, we can help export your chat history and send it to your email whenever you need. Just let us know, and we’ll do it for you.

We are here to assist you , don't hesitate to text us for any questions.

Thank you.
[User] Where can I view the API documentation?
[CS: Hazel] Hi there. It's Hazel here
[CS: Hazel] 你可以在这里找到： https://help.chatty.net/integrations/chatty-public-api
[User] No interface list available
[User] only instructions for generating api key
[CS: Hazel] You're right. Our API documentation currently only covers how to generate the API key, and doesn't include a detailed endpoint reference yet. We've noted your request and will share it with our team for consideration.
[User] if integrate Zendesk,can i view the chat history from Chatty with Zendesk
[CS: Hazel] Yes, you can. By integrating Zendesk with Chatty, your conversation history will be automatically saved to Zendesk as support tickets.



Here's how it works:

• When a conversation is resolved in Chatty, a ticket is automatically created in Zendesk with the full chat transcript and customer details.
• You can then view and search all your Chatty conversations directly in Zendesk.

Please note that it only syncs when the conversation is resolved, not in real-time. Therefore, if customers want to use Zendesk as a long-term chat history storage location, they need to resolve the conversation on Chatty.
[User] do you have any plan to suppport integrate HubSpot?
[CS: Hazel] Currently, we don't have a direct HubSpot integration yet. However, you can use our Public API to pull customer data (contacts, chat history, order info) and sync it to HubSpot through a custom setup or tools like Zapier.



We've noted your request for a native HubSpot integration and shared it with our product team for future consideration.
[CS: Hazel] Could you please describe in more detail how you would like to use Chaty with HubSpot? This will help our dev team better understand your needs and consider building this integration in the future.
[User] We use Quo for customer service calls and integrate it with HubSpot tickets. We also need to integrate live chat and email functions into a single platform, so we are considering Chatty or LiveChat.
[User] if chatty can not integrate hubspot , we only choose Livechat
[CS: Hazel] Thanks for sharing. I'll make sure to forward it to our team, and they can discover and improve it
[User] We want to implement our requirements via API. How can we access the detailed API documentation?
[CS: Hazel] Thank you for following up. Currently, our API documentation page https://help.chatty.ch/integrations/chatty-public-api covers how to generate your API key and common use cases.



For the detailed endpoint reference (available endpoints, request/response format, parameters), this hasn't been published yet. We've noted your request and shared it with our product team.
[User] Could you tell me an approximate time?
[User] it is important for our team
[CS: Hazel] We understand this is important for your business. Unfortunately, we don't have an exact timeline for the detailed API documentation yet. We've escalated your request to our product team as a priority.
[User] Please inform me as soon as possible,if there is any new API documentation
[CS: Hazel] I got it. I'll make sure to inform you if I have any updates about new API documentation"
"session_b1009ccc-4e56-43eb-aba8-895851ece238","2026-03-24 16:03","Tesery Official Store","li@tesery.com","[CS: Andy Bui] https://trello.com/c/zTastxHc
[CS: Andy Bui] https://avadaio.slack.com/archives/C07AZNGEVTM/p1773886856829349
[CS: Andy Bui] Feature request: https://www.notion.so/New-Feature-Auto-assign-AI-conversations-to-human-team-after-fixed-time-32db0da449f18131b5e5f3857f15eb33
[CS: Andy] Hi again, this is Andy from Chatty team
I am writing to provide you with an update on your recent support ticket.

Regarding the specific issue you reported, please be assured that our technical team is actively investigating and double-checking all the details. We want to ensure we find the root cause and provide a stable fix for you as soon as possible.

Additionally, regarding your request for the ""Auto-assign AI conversations to a human team after a fixed time"" feature, I have shared this with our Product Team. We will review this requirement thoroughly, as we see how it could improve your workflow. We hope to include this feature in our product roadmap in the near future.

I will keep you posted on the progress of both the investigation and the feature review. Thank you for your continued patience and for helping us improve Chatty!

Best regards,
Andy
[CS: Andy] Hi again, this is Andy from Chatty team

We have investigated the conversations you mentioned and found the reason why they were not transferred to your human support team.

Currently, based on your settings, when a user fills out the support form for after-sales issues, the system sends a Support Form notification to the store email you provided. This allows your team to check the request via email, while the live conversation itself is still being handled by the AI. You can find these support requests at the email address you set up: support@tesery.com (as configured in your AI Assistant settings)

![](https://storage.crisp.chat/users/upload-1/session/-/a/c/8/1/ac81e1c49df51000/29fqmms6ng_s2e3ix.png)
![](https://storage.crisp.chat/users/upload-1/session/-/a/c/8/1/ac81e1c49df51000/hcpseyvehp_cxv83m.png)
If you would prefer the AI to directly transfer these active conversations to your human support team instead of just sending a form, please follow this path to adjust your settings:
* Path: AI Assistants -> Instructions -> Assistant Skills -> After-sale support

![](https://storage.crisp.chat/users/upload-1/session/-/a/c/8/1/ac81e1c49df51000/xap2zvviu6_vyk059.png)
Please let me know if you need any further assistance with this setup!
Best regards,
Andy
[User] If you would prefer the AI to directly transfer these active conversations to your human support team instead of just sending a form, please follow this path to adjust your settings:
Path: AI Assistants -> Instructions -> Assistant Skills -> After-sale support---------------------------
If I complete this setup, does it mean that AI will not respond to any conversations for us?
[CS: Liz Allen] @linda
[CS: Liz Allen] em take case này nhé
[User] Hello?
[CS: Linda] Hello, Andy just finished his shift, I'm Linda, I will continue assisting you. Please allow me some time to read the chat history to understand the context.
[CS: Liz Allen] em hỏi họ là ý họ về any conversation này là những conversation đã đc transfer hay convo mới nhé
[CS: Liz Allen] > If I complete this setup, does it mean that AI will not respond to any conversations for us?
[User] please answer
[CS: Linda] Before assisting you, may I ask whether you’re referring to all conversations or only the transferred ones?
[User] What I mean is, after completing that setup, when a customer sends new information, will AI still assist in responding? Or will it be directly assigned to one of our team members?
[CS: Linda] No, completing this setup does not mean the AI will stop responding to all conversations. 
The AI will still handle regular customer inquiries such as product questions, FAQs, and general support as usual. 
This setting only changes how the system behaves in after-sale support situations, like refund requests or order issues, where the AI will automatically transfer the conversation to your human support team instead of continuing to respond or showing a contact form.
[CS: Liz Allen] nếu là convo cũ đã đc assign cho human rồi thì vẫn phải là Human reply em ạ. Họ muốn chuyển qua cho AI rep thì phải manually assign
[CS: Liz Allen] còn convo mới thì AI vẫn rep như bth
[CS: Liz Allen] @linda
[CS: Linda Truong] Vâng ạ
[CS: Linda] Beside, for old conversations that have already been assigned to a human agent, they will still need to be handled and replied by the human agent. If you would like the AI to take over those conversations, you would need to manually reassign them to the AI. For new incoming conversations, the AI will continue to respond as usual.
[CS: Liz Allen] No, completing this setup does not mean the AI will stop responding to all conversations. The AI will still handle regular customer inquiries such as product questions, FAQs, and general support as usual.

This setting only changes how the system behaves in after-sale support situations, like refund requests or order issues, where the AI will automatically transfer the conversation to your human support team instead of continuing to respond or showing a contact form.
[User] Okay, got it. New question: where should I go to modify this? This reply is completely incorrect.
[CS: Linda] Please wait for me a second so I can check it clearly.
[User] OK
[CS: Liz Allen] AI đang trả lời sai, mình guide KH vào Review sources xem câu trả lời lấy từ source nào > KH có thẻ double-check các source đó và correct data từ các source đó
[CS: Linda] Can I confirm that you want to change the first auto-reply, right?
[CS: Linda] If the AI is providing incorrect answers, you can guide the customer to check the **""Review Sources"" ** section to see which sources the response is based on. 

From there, they can double-check those sources and correct the data directly to improve the AI’s answers.
[CS: Linda] You can also add FAQs and other sources here so the AI can learn from them and provide more accurate responses.
[CS: Liz Allen] chú ý để KH đọc hết 2 tin nhắn trc thì mới nhắn thêm nhé, vì nhắn nhiều thông tin quá cùng lúc kh khó keep up đc em ạ
[User] I understand what you said, but please check the screenshot. Obviously, ""Review Sources"" is not displayed, so I don’t know where to make the changes.
[CS: Liz Allen] em xin thêm thời gian và tìm lại chat đó trong inbox của kh để check thêm nhé
[CS: Linda] Please give me a moment to look into this for you.
[CS: Linda] I’ve just checked this for you, and that message is already set as your first auto-reply. If you’d like to change it, you can go to **Settings =>  General => Chat Availability => First Auto Reply** at the bottom of the page.
[User] OK  thanks
[CS: Linda] It's my pleasure, do you have any other concerns ?"
"session_bdf65e18-f618-46f7-888e-fb5f7190b640","2026-03-24 15:57","Shopify","marketing.tohjo@gmail.com","[User] **MiauMall has a question about Chatty**

March 24, 2026

New message about Chatty
------------------------

MiauMall ( https://miaumall.com )
sent you a message. See it below.



Chatty still refers customers to outdated information.
For example, we recently updated our shipping rates (The minimum
threshold for free shipping has increased. It is now $149 for the
USA, but Chatty still tells customers it is $129, despite all
sources being updated).

Shopping Bag

Shopping Bag

15‍1 O'Con‍nor Str‍eet,
Gro‍und fl‍oor, Ot‍tawa ON, K2P 2L8
[CS: Liz Allen] @linda em chat nhé
[CS: Liz Allen] vì cần thời gian xử lý, chưa reply kh đc luôn, em dùng shortcut !email-ticket để reply nhé
[CS: Liz Allen] sau đó check kĩ câu hỏi, và xem cần hỏi thêm thông tin gì để process tiếp
[CS: Linda] Hi there,

Thank you for reaching out to Avada Support.

We have received your request and our support team will look into it shortly. Rest assured, we are committed to addressing your issues/ questions as quickly as possible.

If you have any further questions or need additional assistance in the meantime, please don't hesitate to let us know.

Best regards,  

Avada Support Team
[CS: Liz Allen] theo em thì chat này cần xử lý tiếp ntn nhỉ
[CS: Linda] Hi there,

We’ve checked your data sources and found that some shipping policy pages in the Custom Knowledge section had not been re-synced since December 2025. Because of that, the AI was still using outdated information in its responses.

We have now re-synced those policy pages, and the AI is currently providing the correct shipping rates . Kindly help double-check on your end and let us know if there is still any incorrect information. You can check in this link: https://capture.avada.io/i/Wxcs5kUOBKLx

Additionally, we recommend reviewing the links and Q&A in your Custom Knowledge to ensure none are outdated. If you find any, please re-sync them as well . You can visit  picture to see it clearly https://capture.avada.io/i/bjD1Se943ERK

Looking forward to your feedback.
Best Regards."
"session_189c71d5-be72-456b-a44d-0016c47fd38c","2026-03-24 15:51","Phos & Gaia","info@phosandgaia.gr","[CS: Audrey] You're very welcome!
[User] how can I remove these words when the AI thinks/prepares responses? I just want to show only dots ...
[CS: Audrey] By the way, I've increased the product limit for you so you can sync all your products to our AI traning data
[CS: Audrey] Could you please reload the page to see the update on your end?
[CS: Audrey] > how can I remove these words when the AI thinks/prepares responses? I just want to show only dots ...
Please allow me some time to check it for you
[User] I appreciate that, thank you! we constantly add new products, will the new products be added to the learned ones by the AI or is it always a manual action to include them?
[User] also, how remove this when the user chats?
[CS: Audrey] The products will be synced automatically one every day. You can also manually resync the products to our app
[CS: Audrey] > also, how remove this when the user chats?
Please allow me some time to check it for you
[CS: Audrey] I'd like to inform you that these questions will not be displayed on the front store. They're displayed on the AI test section just to suggest you how to ask your AI for testing only :$
[CS: Audrey] > how can I remove these words when the AI thinks/prepares responses? I just want to show only dots ...
Regarding this, I’m afraid we don’t currently have an option to remove those texts. In fact, displaying them while generating a response helps reduce customers’ waiting time and manages expectations for receiving an answer.

May I ask what your reason is for wanting to remove them?
[User] ok thanks
[CS: Audrey] The least I could do!
[User] do you know how to show only dots when it thinks?
[CS: Audrey] Let me forward it to our dev team for their review. I'll update keep you updated on any details
[User] ok
[CS: Audrey] In the meantime, while you're still here, may I ask you for a small favor? It's really quick!
[User] yes
[CS: Audrey] If you have a moment, would you mind spending a few moments sharing your feedback about our app and support by leaving a review here: [https://apps.shopify.com/chatty](https://apps.shopify.com/chatty#modal-show=WriteReviewModal)

Your feedback not only means a lot to us but also helps other merchants understand how the app can support their journey. Thank you so much for your time and support <3
[CS: Audrey] If possible, please mention ""Audrey"" in the review <3
[User] absolutely my dear
[CS: Audrey] You're awesome! Thank you so much!
[CS: Audrey] I hope you can share a screenshot of it once done, as it takes 1 day to be published and I can't wait to see it :D
[User] done already
[CS: Audrey] How quick! Thank you so much for your review!
[CS: Audrey] I really appreciate that! It means a lot to us
[User] sure
[User] I wait aboiut the dots so I can publish the ai live
[CS: Audrey] Sure, I'll update you once I hear back from the dev team
[User] what should be written here?
[CS: Audrey] You can write something like:

“This variant is currently sold out and may be available again in a few days. For more details about restock information, please reach out to our live agent.”
[User] I turned it on but it does not appear on the website
[User] ?
[CS: Audrey] Please allow me some time to check it for you
[CS: Audrey] I've checked and it seems like you haven't saved the change on your end yet. Could you please help me double-check it?"
"session_74f21536-af22-4c34-8aea-b9af62d3a305","2026-03-24 15:32","Freyza","info@freyza.com","[User] on a mobile so you can see the issue
[CS: Andy] Let me double-check on this for you
[CS: Andy] Do you mean this?
[User] yes
[User] I want it just above please
[CS: Andy] Got it, let me help you with that
[User] thank you
[CS: Andy] My pleasure to help :D
[User] done?
[CS: Andy] I will need a few more minutes on this
[User] okay
[CS: Andy] Thank you for your patience. May I know if you want to keep the widget on this position?
[User] yes thank you
[CS: Andy] Great to know!
[CS: Andy] You can adjust it later in Chatbox settings -> Advanced -> Custom CSS section
[User] thanks
[CS: Andy] May I know if you still have any requests left?
[CS: Liz Allen] chat này có gì anh để bạn Linda take tiếp nha
[CS: Liz Allen] @linda tẹo em take over chat này nhé
[CS: Linda Truong] vâng ạ
[CS: Andy Bui] cố làm cái g2 review nha em
[CS: Liz Allen] tẹo nếu kh có hỏi lại thì em gth trc nhé @linda
[CS: Linda Truong] Vâng ạ
[User] yes the ai gave the wrong email
[User] the email is info@freyza.com
[CS: Hazel Pham] @liz @linda c ơi KH quay lại nè c có take khum
[CS: Liz Allen] em cứ take nhé @hazel
[CS: Hazel] Hi there. Thanks for gettings back
[CS: Hazel] It's Hazel here
[CS: Hazel] Could you please provide the name of the conversation where the AI gave the incorrect email information? This will help me check it for you.
[CS: Hazel] Thank you. I'm checking it and will get back to you shortly
[CS: Hazel Pham] jAziEw7Qr8b1axAWhGls
https://capture.avada.io/i/Zotb8qSUYHQ8
[CS: Hazel Pham] convo: jAziEw7Qr8b1axAWhGls
https://capture.avada.io/i/Zotb8qSUYHQ8
email đúng là info@freyza.com, trong setup không có email nào là email support như AI đưa https://capture.avada.io/i/UXrDChrHEeYh
[CS: Hazel Pham] https://trello.com/c/bYXuZELy
[User] hi my page messed up you guys edited it
[CS: Hazel] Could you please let us know which page appears to be messed up and how it looks incorrect?

At the moment, we’re not making any changes to your store — we’re only checking why the AI is providing an incorrect email."
"session_80e63836-5365-4a87-b420-804be2d2a7e1","2026-03-24 15:30","Dwarves Bags","lovevanessaleathershoes@gmail.com","[User] 如果顾客不满意Ai assistant 的答案，需要找人工，怎么找呢
[User] 怎么在这个AI assistant 窗口出现一个人工按钮，这样顾客能快速找到
[CS: Andy] 你好，我是Avada支持团队的Andy。
感谢您的联系。
[CS: Andy] 请问这是不是你的商店网址：https://xf0kfz-pm.myshopify.com?
[User] https://admin.shopify.com/store/wsmtg
[User] 这个是我的商店
[CS: Hazel] 你好。欢迎回来
[CS: Hazel] 我是黑兹尔。让我继续协助你
[User] 如果顾客不满意Ai assistant 的答案，需要找人工，怎么找呢
[CS: Hazel] 目前，我们不支持专门的按钮来立即请求与人工代理连接。

不过，客户只需问AI类似“我能和真人对话吗？”之类的问题，AI就能将对话转接给真人客服。这种行为基于你在AI助手>指令>助理技能下的人工交接设置。
[User] 找不到网络及时回复顾客问题的入口呢
[CS: Hazel] 啊，你可以在收件箱部分查看所有消息
[User] 怎么邀请团队其他人进来呢
[User] 如何调整这个呢？为什么字没有在中间
[CS: Hazel] You can invite your team member in the Settings > Team
[CS: Hazel] > 如何调整？为什么单词不在中间？
哦，让我们的技术团队帮你修好
[CS: Hazel Pham] tạo card
[CS: Hazel Pham] https://capture.avada.io/i/52sxd3b8RoQy
cái nút đang hiện hơi lỗi tí a fix giúp ạ
[CS: Hazel Pham] https://trello.com/c/NWau5jA0
[CS: Hazel] Hi there,

This is Hazel from the Chatty Team.

I’m following up regarding the adjustment of the “Chat Now” button. Our tech team has checked and found that there were some display inconsistencies causing the layout to appear misaligned.

We’ve now fixed this for you using custom CSS, and everything should be displaying correctly.
https://capture.avada.io/i/cw3FnysU9G2B

Here’s the result:
https://capture.avada.io/i/iv7IhTrVe3Ex
Please take a look and let us know if everything appears as expected on your end. If you need any further adjustments, feel free to reach out—I’d be happy to assist!

Best regards,
Hazel
Avada Support Team"
"session_765129d2-eb6d-4039-917c-0dacec58c4ed","2026-03-24 15:27","END Nutrition","endnutritiongcc@gmail.com","[User] this shows tracking way, but when i want to track they redirecsiteted to some other web
[User] this shows tracking way, but when i want to track they redirected to some other website
[User] i  have smsa tracking website where they can traack
[User] so could you connect that page
[CS: Andy] Welcome back, is Andy here
[CS: Andy] Thanks for sharing your case
[User] https://www.smsaexpress.com/ae/trackingdetails
[User] this is the webpage i want to connect in my tracking section of chatty
[CS: Andy] Can you share with me one example order and the corresponding email so I can check for you
[User] email?
[CS: Andy] Email of the order, please
[User] #1029

islam.mm.khalil@outlook.com
[User] this is order number and email
[CS: Andy] Thank you so much let me check further on this for you
[User] #1005 take this order number
[User] as we have the tracking code also
[User] 293139846104 this tracking code for this order
[CS: Andy] Thank you very much. I will return as soon as I have any updates.
[User] please do this as soon as possible as website is live and customer having issue as they want to track order and they reach to wrong place
[CS: Phoebe] Please rest assured that your case is marked as priority. We'll keep you updated!
[CS: Andy Bui] A đag check dở nên chờ xíu a rep típ cho
[CS: Andy] Hi again, this is Andy from Chatty team

I am writing to inform you that I have successfully added the URL you requested to the Order Checking Integration section within your Chatty Settings. I have verified the integration using the tracking number you provided for testing, and I can confirm that it is now functioning correctly. For your reference, I have attached a screenshot and a short test video below showing the results:

Test video: https://jam.dev/c/94b061e5-4fbc-4c2f-9452-9fa2a8c69710

![](https://storage.crisp.chat/users/upload/session/-/f/0/2/a/f02a91ee064e3800/2026-03-1420-10_b2g463.png)
Could you please take a moment to test it on your end as well to ensure everything is working exactly as you'd like?
If you have any further questions or need any additional adjustments, please feel free to let me know!

Best regards,
Andy
[User] perfect, thank you
[CS: Phoebe] Hi, thank you for getting back and confirming the situation ^^

Is there anything else we can assist you with today?
[User] hi
[CS: Hazel] Hi there. It's Hazel here
[CS: Hazel] How may I assist you today?
[User] chatty is giving complete information if customer ask about any product
[User] it directly give the product link
[User] i want chatty to give details information about the product
[CS: Hazel] Please give me a moment to check it first
[User] see chatty has not give any response here
[CS: Hazel] Oh, please allow me to escalate it to our tech team to investigate further for you
[User] okay
[CS: Hazel] In addition, I’ve run a test and would like to confirm if the AI’s response shown in the image below meets your expectations.
[CS: Hazel] Hi there,

This is Hazel from the Chatty Team.

I’m following up regarding the issue where the AI did not respond when customers clicked the “View similar” button in the pop-up.

Our tech team has checked and found that the system was temporarily stuck at that time, which caused the AI to not respond as expected. They have since retested the flow, and everything is now working normally again.
https://capture.avada.io/i/EQGVRsQhK3fy
retested
Could you please help monitor the behavior on your end as well and let us know if the issue happens again? We’ll continue keeping an eye on it from our side too.

Thank you for your understanding and support!

Best regards,
Hazel
Avada Support Team"
