#,Category,Question,Answer,Frequency
1,AI Training,"How do I train my AI assistant? What data sources should I add?","Add training data in the AI Assistant section. Key data sources: (1) Products — sync your Shopify products so AI knows what you sell; (2) FAQs — add Q&A pairs for common store policies (shipping, returns, etc.); (3) Custom Knowledge — upload documents or paste text for detailed policies, brand info, or guides; (4) Store Info — sync store details like contact info, business hours, locations. After enabling each source, click Sync. Best practice: write detailed product descriptions with specs; add specific Q&A pairs for edge cases (e.g. backorder handling, metafield-based delivery times); use AI Assistant → Instructions → Manage → Assistant skills → Custom scenarios for situation-specific behavior. To verify training: go to AI Assistant → Test AI to test responses before going live.",81
2,Billing / Subscription,"I was charged after my trial ended / I need a refund. How do I cancel my plan?","For refund requests: CS needs to review the billing details — share a screenshot of the charge from your Shopify billing page. Refunds are assessed case by case. To cancel/downgrade: go to Chatty → Subscription page → downgrade to Free plan. This stops future charges. Note: downgrading takes effect at the end of the current billing period. You will not be charged again after downgrading. If you need to fully uninstall, remove the app from Shopify Apps — this stops all billing.",57
3,Analytics / Export,"Can I export my chat conversations or view analytics? How do I see chat history?","To view conversations: go to Chatty → Inbox. You can filter by channel, date, and status. To export transcripts: the CS team can export and email conversation data to you — share your email address and the date range needed. Bulk CSV export is not currently available as a self-serve feature. For analytics: go to Chatty → Analytics to view conversation volume, AI usage, response rates, and CSAT. Note: on the Free plan, chat history is only stored for 90 days — older conversations appear blurred.",47
4,Installation / Initial Setup,"I just installed Chatty — how do I set everything up? The chatbox isn't working after install.","Quick setup steps: (1) Go to Shopify Admin → Online Store → Themes → Customize → App Embeds → enable Chatty toggle → Save; (2) In Chatty: go to Chatbox → General → Turn on chatbox → in Blocks, enable Live chat; (3) Enable AI Assistant and sync your data sources (products, FAQs, store info); (4) Go to Settings → Notifications to set up browser push or email alerts; (5) Test by opening your storefront and clicking the chat icon. If the widget still doesn't appear after Step 1 and 2, check the Theme App Embeds toggle is saved — this is the most common cause.",47
5,Proactive Chat / Popup,"How do I disable or edit the proactive chat popup? I don't want product recommendations popping up.","To disable the proactive chat popup: go to Chatty → AI Assistant → Instructions → Manage → Assistant skills → Shopping skills → Product recommendations → toggle it off (or set to only show when customer asks). To remove or edit specific proactive chat messages (e.g. 'Our Best Seller', welcome banners): go to Chatty → Proactive Chat → find the active message → edit or disable it. To disable all proactive chat: go to Proactive Chat → toggle off all active items. Note: the 'Welcome Visitor' greeting bubble is separate — configure it in Chatbox → Chat Page → Welcome visitors section.",39
6,Notifications,"I'm not getting notifications when a new chat comes in. How do I fix this?","Step 1: Go to Settings → Notifications → ensure web push and/or email notifications are toggled on for the relevant triggers. Step 2 (Browser/Desktop): Grant notification permission for app.chatty.net in your browser — go to browser Settings → Site Settings → Notifications → allow app.chatty.net. Also check your OS system notifications are not blocked (Mac: System Settings → Notifications; Windows: Action Center). Step 3: Clear browser cache, restart browser. If still failing: open Chrome DevTools (F12) → Application → Service Workers → update the firebase-messaging-sw.js worker. For mobile: Chatty is a PWA (not an App Store app) — install via app.chatty.net → 'Add to Home Screen', then go to device Settings → Apps → Chatty → Notifications → allow. If completely stuck, use email notifications as a fallback while escalating to support.",38
7,Chatbox Widget Position,"The chat icon is blocking my Add to Cart button / navigation menu. Can I move it?","Chatty supports left/right bottom alignment natively — go to Chatbox → General → Position. For more specific adjustments (moving higher on mobile only, precise pixel positioning, or fixing overlap with specific theme elements like a sticky ATC bar): this requires custom CSS and the CS/TS team handles it. To request: (1) Describe what you need (e.g. 'move icon 60px higher on mobile only'); (2) Provide a screenshot showing the overlap; (3) Specify desktop, mobile, or both. The team will apply the CSS and confirm when done. On average, position adjustments take 1–2 business hours.",27
8,Human Handover / AI to Human Transfer,"How does AI hand over a conversation to a human agent? How do I set this up?","Configure human handover in: AI Assistant → Instructions → Manage → Assistant skills → Customer support skills → Human handover. Options: (1) Transfer to online agent — assigns chat to an online team member; check 'Only assign to online members' if you want this. (2) Send to email — AI collects customer info and sends a handover notification to your support email. (3) No transfer — AI handles all requests and gives customers a self-service option (e.g. a phone number or email to contact). To turn off AI entirely and use only human chat: go to AI Assistant → toggle off AI Assistant. Agents will then handle all incoming chats manually from the Inbox.",30
9,Translation / Language Settings,"How do I change the language of the chatbox? The AI responds in the wrong language.","To set the chatbox display language: go to Chatbox → General → Language → select your language. For AI response language: go to AI Assistant → Instructions → Manage → Custom instructions → add an instruction like 'Always respond in [language], regardless of the language the customer uses.' For multilingual stores: Chatty supports real-time translation in the Inbox (new feature) — agents can see messages translated in real time. To display FAQs in a specific language, add the FAQ content in that language. If the AI replies in the wrong language unexpectedly (e.g. Japanese store getting Chinese responses), add a custom instruction to force the target language and report the conversation ID to support.",26
10,Team Members / Account Management,"How do I add a team member? How do I change the account/admin email?","To invite a team member: go to Settings → Team → Invite member → enter their email. They will receive an invitation email. Note: currently only one Admin role is supported — you cannot have multiple admins. To change a team member's email: go to Settings → Team → find the member → the CS team can update the email on your behalf if you cannot do it yourself (share the current email and new email). If the invitation email is not received: check spam folder; CS can re-send or help troubleshoot. On the Free plan, you cannot add additional team members — upgrade to a paid plan.",27
11,Chatbox Settings / Widget Customization,"How do I customize the chatbox appearance? Can I change colors, the welcome message, or widget size?","Chatbox customization options: go to Chatbox → General for position (left/right), color theme, and enabling/disabling the widget. To change the welcome message / greeting: go to Chatbox → Chat Page → Welcome visitors section — edit the text shown above the chat icon. To change chatbox colors: go to Chatbox → General → Color. For advanced customization (font size, custom CSS, widget size adjustments, RTL text support): these require custom CSS. Submit a request to the CS team with a screenshot and description of what you need. Note: the chatbox does not currently support direct CSS access by merchants.",21
12,FAQ Page / FAQ Block Setup,"How do I set up the FAQ page? The default questions keep reappearing / I can't delete them.","To set up the FAQ page: go to Chatty → FAQs → create categories and add Q&A items. To add the FAQ page to your store navigation: add a page link pointing to /pages/[your-faq-page-slug] in your Shopify navigation menu. To add the FAQ block inside the chatbox: go to Chatbox → Chat Page → FAQ block — toggle on and select which FAQ categories to show. The 'default questions' visible in the chat preview (like pre-built sample questions) are preview-only — they don't show to customers on your live store. To edit which questions customers see: edit the FAQ block settings. To remove the search bar from the FAQ block: go to FAQ block settings and disable the search bar.",20
13,Widget Not Showing on Store,"The chat widget isn't appearing on my website even though I've activated it.","Follow this checklist in order: (1) Check Shopify Admin → Online Store → Themes → Customize → App Embeds → Chatty must be toggled ON and saved. (2) Check Chatty → Chatbox → General → confirm chatbox is turned on; in Blocks, confirm Live chat is enabled. (3) Hard-refresh the storefront (Ctrl+Shift+R or Cmd+Shift+R). (4) Test in an incognito browser window. If the widget shows in incognito but not in your regular browser: clear browser cache and cookies. If visible on desktop but not mobile (or vice versa): share a screenshot with the CS team to escalate. If still not showing after all above steps: grant collaborator access and escalate to CS with your store URL and theme name.",21
14,Mobile App (PWA),"Is there a Chatty mobile app? How do I install it on my phone?","Chatty is a PWA (Progressive Web App) — it is NOT available on the App Store or Google Play Store. Install it via browser: (1) On your phone, open app.chatty.net in Chrome (Android) or Safari (iOS); (2) Tap the Share icon → 'Add to Home Screen' → Add. The app icon will appear on your home screen like a native app. To find the QR code for easy install: go to Settings → Notifications → scan the QR code with your phone. Login: use your Chatty account email and password (use Forgot Password if needed). For mobile push notifications: after installing, go to device Settings → Apps → Chatty → Notifications → allow.",23
15,AI Conversation/Usage Limits,"How many AI conversations am I allowed? What happens when I reach the limit?","Free plan: 50 AI conversations total (lifetime, not monthly). Once reached, AI stops responding — customers still see the chat but the AI won't reply, and you must manage conversations manually. Paid plans: each plan has a monthly AI conversation quota. When the quota is exhausted, the AI deactivates until the next billing cycle resets it. You can check your usage in Chatty → Subscription. Extra charges: on paid plans, if you exceed the monthly quota, usage charges apply per additional conversation — see Subscription → View plans for rates. Setting a hard cap: currently there is no built-in way to auto-pause AI at a custom limit. Feature request submitted. Workaround: monitor usage regularly and manually disable AI if approaching the limit.",13
16,Online Hours / Availability,"How do I set my online/offline hours? How do I add a holiday offline message?","Go to Settings → Online Hours → set your working days and hours. The chatbot shows as 'online' during these hours and 'offline' outside them. To add a holiday: Online Hours → Holidays → add a date range. Limitation: you cannot set a custom offline message per holiday — the same global offline message applies to all holidays. To change the offline message: edit it in Online Hours settings. To keep AI available 24/7 regardless of hours: go to AI Assistant → Settings → toggle on 'AI available outside online hours' (or similar). Note: if you want only AI (no human agents) to respond, disable human agent availability and keep AI enabled at all times.",23
