PHẦN 1 - NGUỒN QUỸ CHUYẾN ĐI
Nguồn,Số tiền (VNĐ),Ghi chú
Công ty/Team hỗ trợ,,Số tiền team Chatty duyệt hỗ trợ
Tổng đóng góp thêm từ cá nhân,,Tự động cộng từ Phần 3
TỔNG QUỸ,,= Team hỗ trợ + Đóng góp thêm

,,
PHẦN 2 - CHI TIÊU THỰC TẾ
STT,Hạng mục,Mô tả chi tiết,Số tiền (VNĐ),Người chi/ứng trước,Có hóa đơn?,Ghi chú
1,Di chuyển,Xe khách/máy bay/thuê xe,,,,
2,Lưu trú,Khách sạn/homestay - số đêm,,,,
3,Ăn uống,Các bữa ăn chính + phụ,,,,
4,Vé tham quan,Vé vào cổng/hoạt động,,,,
5,Team building,Chi phí trò chơi/thuê MC,,,,
6,Phát sinh,Khác (dự phòng),,,,
,,TỔNG CHI TIÊU,,,,

,,,,,,
PHẦN 3 - ĐÓNG GÓP CÁ NHÂN
STT,Họ tên,Trong team/Ngoài team,Mức đóng góp chuẩn (VNĐ),Đã đóng?,Ngày đóng,Ghi chú
1,,Trong team,,Chưa,,
2,,Trong team,,Chưa,,
3,,Ngoài team,,Chưa,,

,,,,,,
PHẦN 4 - TỔNG KẾT
Chỉ số,Giá trị
Tổng quỹ (Team hỗ trợ + Đóng góp),
Tổng chi tiêu thực tế,
Chênh lệch (Quỹ - Chi tiêu),
Số người đã đóng / Tổng số người,
Số tiền còn thiếu thu,
