"Category","Reviewer","Question","Answer"
"integration","","How can I integrate the Joy Loyalty app with Klaviyo and create a pop-up for new sign-ups?","You can integrate the Joy Loyalty app with Klaviyo, and our application uses the Shopify registration procedure for sign-ups. While we support displaying the Loyalty widget for customer sign-ups or logins, we do not currently offer a direct option to create a pop-up within Klaviyo for email and phone collection. However, you can use the Loyalty widget to announce your new loyalty program."
"vip","","Can I sync all the customers according to the points for VIP tiers?","Yes, you can sync customers to VIP tiers based on the points they have earned. However, the VIP program must be launched first, and the start date for tier calculations should be set appropriately to ensure all past points are considered."
"rewards","","If I choose the free product redemption option, am I restricted to offering only one specific, fixed product?","Currently, the app supports giving all selected products in the settings for free, rather than allowing customers to choose one product from multiple options. You may consider using a regular redeeming program instead, which allows a free coupon to be applied to just one product among several eligible products."
"points","","Will the points of previous customers be calculated automatically again if I change the earning and redeeming program rules?","Unfortunately, to recalculate points based on new earning rules, you will need to wipe out the current point balance. The system will then recalculate from the specified start date, taking into account the new earning ratio."
"rewards","","Are the redemptions one-time-only for tier entry rewards?","Yes, the entry reward is a one-time use benefit granted when customers reach that tier. If you want a redeemable coupon that can be used multiple times, consider replacing the tier entry reward with a regular redeeming program."
"points","","If I maintain the current settings, will new orders continue to accumulate points based on my current point-earning configuration?","Yes, new orders will accumulate points based on your current earning configuration, such as earning 100 points for every $100 spent."
"billing","","Do I need to provide reports for historic orders before the free pattern tag was added?","Yes, you will need to provide reports for any orders prior to when the free pattern tag was added, specifically for December and January, as discussed during the setup of the new tag."
"integration","","Can I create a page to display login account information and points using Joy Loyalty?","Yes, you can display login account information and points on the Customer Account page, Loyalty page, and Sidebar. Your current Joy Advanced plan supports this functionality, so you do not need to upgrade to Joy Ultimate for these blocks to function."
"other","","Is there an option to earn points for joining a Facebook group?","Currently, there is no earning program for joining a Facebook group. However, you can use the Custom Program with a Custom Trigger as an alternative, but you will need to manually add points to customers' profiles after verifying their membership in the group."
"billing","","Can I redeem points on the checkout page?","The ability to redeem points on the checkout page is only available for users on the Ultimate plan using a Shopify Plus store, as Shopify Plus allows for checkout page customization. Therefore, you cannot use this function with your current plan."
"rewards","","Can the discount redeemed with points be combined with automatic discounts on the website?","Yes, you can set up the app to combine discounts from our application with website discounts. You'll need to enable the combination settings for both the app and the website discounts to ensure they work together."
"rewards","","What settings are needed to combine website discounts with the app's discounts?","You need to confirm whether the website discounts are set as order or product discounts and then select the appropriate settings in the redeeming program to combine them with the app's discounts."
"rewards","","Can we track which order number a voucher was used for after a customer redeems their points?","Yes, you can see that information in the customer profile in Joy. The order number will show in the coupon information."
"rewards","","If we cancel a customer’s order, will any voucher that was used still be considered consumed and require manual adjustment?","Yes, redeemed coupons are considered consumed and cannot be reused after an order refund. However, if you want to refund the points used for the coupon, you can enable the function to automatically refund points when you refund or cancel an order, so manual adjustment is not necessary."
"billing","","Can we have a trial period for the Advanced plan?","The trial for the plans is no longer available on this store, but I have manually opened the Joy Advanced plan for you for 14 days. It will automatically revert to the Free plan after the trial period ends."
"billing","","Can we still avail of the $99 plan?","Unfortunately, the pricing has been updated, and the Advanced plan is now $129/month. This change reflects ongoing updates and improvements to the app."
"widget","","Why is my loyalty page empty?","The loyalty page should display any activated programs. If no programs or memberships have been activated yet, it will appear empty. Please ensure you activate the reward programs to see them on the loyalty page."
"points","","Can I earn double points for purchasing specific products?","Yes, you can implement an additional 'Place Order' program to reward customers with double points when purchasing specified products. This can be set up in the rules engine options."
"billing","","Can I get a discount on the Advanced subscription plan?","Yes, you can inquire about discounts for the Advanced subscription plan. The support team will verify your request with the sales team."
"other","","How can I enable the total discount value column in the analytics report?","The total discount value column has been successfully enabled in your analytics. Please review it and let us know if you have any further questions or need additional assistance."
"migration","","How do I sync points for orders based on a start date during pre-launch?","You can set the start date inside your Place Order rules. Ensure the Reward Program is turned on before starting the sync. When you run the pre-launch function, it will calculate points from the start date you set and add them for the old orders."
"migration","","What data will be imported during the migration from the previous rewards app?","During the migration, we will import customer name, email, reward tier, and point balance based on the data provided in your migration file."
"rewards","","Is there a way to make an item visible in the store but only redeemable with loyalty points?","You can achieve this by either adding the product to a separate product template and hiding the Buy button using CSS code, which prevents direct purchases but allows redemption via a discount code, or by making the product exclusive to a specific VIP tier, allowing only those customers to add it to their cart."
"billing","","Is it required for me to upgrade my subscription to get the redeeming points at checkout feature?","The redeeming at checkout feature is available only for the Ultimate plan and Shopify Plus. Unfortunately, features related to the checkout page require complicated integration and permissions that are only available on Shopify Plus. Other loyalty apps may appear to support checkout redemption without Shopify Plus, but they typically apply discounts before checkout rather than modifying the checkout page itself."
"points","","How can customers redeem their points at the checkout process?","Currently, customers can redeem points in the cart or via a widget before checkout. Alternatively, you can automatically apply the reward as a discount code to make the experience seamless before they reach checkout."
"vip","","Can you confirm that the current tiers before the modification are still valid and that the affected customers are not being downgraded?","Yes, we can confirm that the current tiers will be maintained. Before the relaunch, we will export the customer data, including their current tier and points. After the relaunch, we will assist in re-importing the data to ensure that customers retain their previous tier status."
"vip","","Will you be implementing the program to maintain the current tiers and points of customers after the tier relaunch?","Yes, we will assist in maintaining the current tiers and points. Please inform us before the relaunch so we can export the necessary customer data. After the relaunch, we will help re-import the updated data to ensure a smooth transition."
"rewards","","If I give a free product as a birthday gift, will customers receive a code to redeem it on their next order or will an order be automatically created for them?","If you switch to offering a free product as a birthday gift, the system will automatically send a discount code to the customer. They will need to apply this code on their next order to receive the free product."
"vip","","Can I combine a member exclusive deal with perks in the membership benefits?","Yes, the membership exclusive deal and perks can be combined. You just need to check the combination condition option for both rewards during setup."
"points","","How can I automatically add points to customers on Valentine's Day based on their tier?","Currently, Joy does not support an automation to automatically add points by tier on a specific day. Instead, you can export the customer list by tier on February 14, modify the file to add the corresponding points, and then import it back into the app, selecting the option to 'Add points to existing point balance'."
"integration","","How do I activate the subscription feature in Joy Loyalty?","To activate the subscription feature, you need to install the subscription app and create subscription products. The 'Order' rules for subscriptions are supported even on the Starter plan, but you must set up the subscription app correctly. You can check the compatible subscription apps with Joy for further guidance."
"birthday","","How can I check the performance of birthday reward reminder emails, including how many were sent and their open rates?","Currently, we do not have a filter for email notifications, so you will need to review them manually. If you want to check in bulk, please select a time range, and I can ask the technical team to export the log for you."
"birthday","","Why are there only 3 people receiving the birthday points in March?","The birthday rewards are sent based on the calendar month, which is why you see only a few recipients. Most of the birthday rewards were sent at the beginning of March."
"integration","","How can I create segments in Klaviyo to reflect the exact data from Joy Loyalty?","You can create segments in Klaviyo by going to the Audience section, selecting List & segments, and then creating a new segment. Use the 'Properties about someone' condition type to select Joy's properties, such as Joy member status, Joy Referral URL, and Joy VIP tier. For example, set the condition to 'Joy VIP tier equals to ""Elite""' and save the segment for your email campaigns."
"rewards","","Can I offer discounts as points with a coupon code?","In our app, we support a store credit system that provides customers with real monetary value they can spend immediately, rather than offering points as cashback through coupon codes."
"widget","","Can I add a photo to the sign-up banner using CSS?","Currently, adding an image background to the sign-up banner via CSS is not supported. However, our technical team is reviewing your request for this feature. In the meantime, you can use CSS for color adjustments, but gradients may require specific code adjustments."
"billing","","Are there any promotions or discounts available for upgrading my plan?","At this time, there are no active promotions for upgrading your plan. However, we will notify you of any upcoming promotions, such as during Black Friday, that may help you consider upgrading in the future."
"rewards","","Can I create a Black Friday deal where customers spend $50 to get $10 store credit?","Yes, you can set up a store credit program using Shopify Flow to implement this logic. For more details, refer to the documentation on integrating store credit with Shopify Flow."
"referral","","Can you tell me more about the automated email sharing for referrals?","The automated email sharing feature allows customers to send referral emails directly from your store, eliminating the need to manually copy and share their referral link. There are three automation methods available: Klaviyo, Shopify Flow, and Joy in-app notifications."
"integration","","Is there a way to reward customers for leaving a review if I use Klaviyo Reviews?","Yes, our app supports integration with Klaviyo for rewarding customers who leave reviews. You can set this up by adding a 'Write a Review' program in your rewards settings."
"vip","","How do I get the rewarding value to be the tier system in our rewards program?","To configure the VIP tier in your rewards program, you need to set it up first. Since the VIP tier has not been set up yet, the option to select it is unavailable. You can initiate the setup process by clicking the 'Here' button in your Joy Admin under the VIP tier settings."
"rewards","","How do we get the 'write a review' to work in our rewards program?","To configure the Write a Review program, navigate to Joy Admin → Reward Programs → Earning Programs → Add Rule → Write Review. Ensure you select the review application to integrate with. If it is already integrated and activated, please check that the review is being submitted correctly and that the integration is functioning as expected."
"rewards","","Why are rewards points not populating when I write a review?","If rewards points are not populating after you write a review, please ensure that the review is submitted through the integrated review application. The review reward has been successfully granted for your account, so please check to confirm that everything is functioning properly on your side."
"widget","","Is there another page I should redirect my customers to for viewing rewards?","Yes, you can redirect customers to a dedicated rewards page where they can view their rewards. Ensure that the page is set up correctly in your settings to provide a seamless experience for your customers."
