session_id,date,app,plan,country,store,merchant_message,escalated,handled_by,first_response_min
S-1001,2026-08-03,Chatty,Pro,US,demo-store-01,"The chat widget is not showing on my product pages, only on homepage",no,CS-A,4
S-1002,2026-08-03,Chatty,Free,DE,demo-store-02,"How do I connect WhatsApp to the live chat?",no,CS-B,7
S-1003,2026-08-03,Joy Loyalty,Advanced,UK,demo-store-03,"Points are not being awarded when customers place an order",yes,CS-A,12
S-1004,2026-08-04,Chatty,Pro,US,demo-store-04,"I was charged twice this month, please refund one charge",yes,CS-C,3
S-1005,2026-08-04,Chatty,Starter,AU,demo-store-05,"Can I change the chat widget color to match my brand?",no,CS-B,5
S-1006,2026-08-04,Joy Wishlist,Free,CA,demo-store-06,"Wishlist button does not appear on collection page",no,CS-A,9
S-1007,2026-08-05,Chatty,Pro,FR,demo-store-07,"The AI agent is giving wrong answers about my shipping policy",yes,CS-C,6
S-1008,2026-08-05,Joy Loyalty,Pro,US,demo-store-08,"How do I import my existing customer points from another app?",no,CS-B,15
S-1009,2026-08-05,Chatty,Free,IN,demo-store-09,"What is the difference between Free and Starter plan?",no,CS-A,2
S-1010,2026-08-06,Chatty,Pro,US,demo-store-10,"Widget not showing after I changed my theme",no,CS-B,8
S-1011,2026-08-06,Joy Loyalty,Advanced,ES,demo-store-11,"Customers say they cannot redeem their reward at checkout",yes,CS-C,11
S-1012,2026-08-06,Chatty,Starter,US,demo-store-12,"I want to cancel my subscription, how do I do that?",no,CS-A,4
S-1013,2026-08-07,Chatty,Pro,NL,demo-store-13,"Can I train the AI with my own FAQ file?",no,CS-B,6
S-1014,2026-08-07,Joy Wishlist,Pro,US,demo-store-14,"Wishlist items disappear when customer logs out",yes,CS-A,10
S-1015,2026-08-07,Chatty,Free,BR,demo-store-15,"Chat widget is very slow to load on mobile",no,CS-C,13
S-1016,2026-08-10,Chatty,Pro,US,demo-store-16,"I upgraded but I still see the old plan limits",no,CS-B,5
S-1017,2026-08-10,Joy Loyalty,Free,UK,demo-store-17,"How many points should I give per dollar spent?",no,CS-A,7
S-1018,2026-08-10,Chatty,Advanced,US,demo-store-18,"The AI answered a question wrong and the customer complained",yes,CS-C,4
S-1019,2026-08-11,Chatty,Starter,IT,demo-store-19,"Widget disappeared from my store after last update",yes,CS-B,3
S-1020,2026-08-11,Joy Loyalty,Pro,US,demo-store-20,"Can I run a double points campaign for Black Friday?",no,CS-A,9
S-1021,2026-08-11,Chatty,Pro,SG,demo-store-21,"How do I add more team members to the inbox?",no,CS-B,6
S-1022,2026-08-12,Chatty,Free,US,demo-store-22,"I reached my AI conversation limit, what happens now?",no,CS-C,5
S-1023,2026-08-12,Joy Wishlist,Free,MX,demo-store-23,"Wishlist button color does not match my theme",no,CS-A,8
S-1024,2026-08-12,Chatty,Pro,US,demo-store-24,"Billing charged me after I uninstalled the app",yes,CS-C,2
S-1025,2026-08-13,Chatty,Advanced,DE,demo-store-25,"Can the AI reply in German automatically?",no,CS-B,7
S-1026,2026-08-13,Joy Loyalty,Advanced,US,demo-store-26,"Points balance shows different number on my dashboard vs customer account",yes,CS-A,14
S-1027,2026-08-13,Chatty,Starter,US,demo-store-27,"Widget not showing on password protected page",no,CS-B,10
S-1028,2026-08-14,Chatty,Pro,UK,demo-store-28,"How do I export my chat history?",no,CS-C,6
S-1029,2026-08-14,Joy Loyalty,Pro,AU,demo-store-29,"Referral emails are not being sent to customers",yes,CS-A,11
S-1030,2026-08-14,Chatty,Free,US,demo-store-30,"What are the limits of the free plan exactly?",no,CS-B,3
S-1031,2026-08-17,Chatty,Pro,US,demo-store-31,"AI agent keeps escalating everything to human, how do I fix it?",no,CS-C,9
S-1032,2026-08-17,Joy Wishlist,Pro,FR,demo-store-32,"Can customers share their wishlist by link?",no,CS-A,5
S-1033,2026-08-17,Chatty,Advanced,US,demo-store-33,"I want a refund, the app did not work for 3 days",yes,CS-C,4
S-1034,2026-08-18,Chatty,Starter,CA,demo-store-34,"Widget shows on desktop but not on mobile",no,CS-B,8
S-1035,2026-08-18,Joy Loyalty,Free,US,demo-store-35,"How do I migrate from Smile.io to Joy?",no,CS-A,16
S-1036,2026-08-18,Chatty,Pro,JP,demo-store-36,"Can I use my own domain for the chat widget?",no,CS-B,7
S-1037,2026-08-19,Chatty,Pro,US,demo-store-37,"AI gave a wrong price to a customer, this is serious",yes,CS-C,2
S-1038,2026-08-19,Joy Loyalty,Advanced,UK,demo-store-38,"Tier upgrade is not triggering for some customers",yes,CS-A,13
S-1039,2026-08-19,Chatty,Free,US,demo-store-39,"How do I upgrade my plan?",no,CS-B,4
S-1040,2026-08-20,Chatty,Pro,DE,demo-store-40,"Widget not loading, console shows a script error",yes,CS-C,6
